Dominick Joseph Angiolillo, M.D., Ph.D. 

L. Jeannine Brady, Ph.D. 

Barry J. Byrne, M.D., Ph.D. 

Shigang Chen, Ph.D. 

Jaret C. Daniels, Ph.D. 

Jon Dobson, Ph.D. 

George L Drusano, M.D. 

Yuguang Fang, Ph.D. 

Svetlana Folimonova, Ph.D. 

Lillian Guerra, Ph.D. 

Michael Haller, M.D. 

Ann L. Horgas, Ph.D., R.N. 

Lisa A. House, Ph.D. 

Suming Huang, Ph.D. 

Stephanie Karst, Ph.D. 

Nemat O. Keyhani, Ph.D. 

John H. Kranzler, Ph.D. 

Jodi Lane, Ph.D. 

Won Suk Lee, Ph.D. 

Julie K. Levy, D.V.M., Ph.D. 

Ira Longini, Ph.D. 

Kai Lorenzen, Ph.D. 

Charlene D. Luke, J.D. 

Desmond Schatz, M.D. 

Malini Johar Schueller, Ph.D. 

David Vaillancourt, Ph.D. 

Adam Veige, Ph.D. 

Mo Wang, Ph.D. 

Gregory Webster, Ph.D. 

Damian C Adams, Ph.D. 

Fredy Altpeter, Dr. Sc. Agr. 

Pavlo “Pasha” Antonenko, Ph.D. 

Jennifer L Bizon, Ph.D. 

Helene Blondeau, Ph.D. 

Anthony B Brennan, Ph.D. 

Seunghee Cha, D.D.S., Ph.D. 

Paul Cooke, Ph.D. 

Mitchell S Estrin, M.M. 

Gail E Fanucci, Ph.D. 

Phyllis L Hendry, M.D. 

James W Jawitz, Ph.D. 

Konstantinos “Kostas” Kapparis, Ph.D. 

Yong Jae Ko, Ph.D. 

Eric G Krause, Ph.D. 

Alfred S Lewin, Ph.D. 

Konstantin Matchev, Ph.D. 

Bob McCleery, Ph.D. 

Barbara Mennel, Ph.D. 

Kati w Migliaccio, Ph.D. 

R. Edward Minchin, Ph.D. 

Sanjay Ranka, Ph.D. 

Barry Setlow, Ph.D. 

Sanjay Shukla, Ph.D. 

Dietmar W Siemann, Ph.D. 

Timothy Sorel, M.B.A. 

David W Steadman, Ph.D. 

John Richard Stepp, Ph.D. 

Timothy G Townsend, Ph.D. 

Wentong Zheng, J.D., Ph.D. 

Jeffrey Bloomquist, Ph.D. 

Shannon Boye, Ph.D. 

Ronald Cohen, Ph.D. 

Rhonda Cooper-DeHoff, Pharm.D. 

Natalie Ebner, Ph.D. 

Leonardo Ferreira, Ph.D. 

Stephen Luke Flory, Ph.D. 

Kelly Foote, M.D. 

Jose A. Fortes, Ph.D. 

Benoit Giasson, Ph.D. 

Aysegul Gunduz, Ph.D. 

Berta Hernandez, J.D. 

Michael Hofmann, M.A. 

Mark Hudak, M.D. 

Jiri Hulcr, Ph.D. 

Ester de Jong, Ed.D. 

Akito Kawahara, Ph.D. 

Tanmay Lele, Ph.D. 

Fiona McLaughlin, Ph.D. 

Rowan J. Milner, Ph.D. 

Duane Mitchell, M.D., Ph.D. 

Marcelle Nascimento, D.D.S., Ph.D. 

Jeanne-Marie Stacciarini, Ph.D., R.N. 

Maya Stanfield-Mazzi, Ph.D. 

Lukasz Stelinski, Ph.D. 

David Wei, Ph.D. 

Samantha Wisely, Ph.D. 

A. Corinne Huggins-Manley, Ph.D. 

Abigail Fagan, Ph. D. 

Angelos Barmpoutis, Ph.D. 

Brian Hoh, M.D. 

Cynthia Morton Padovano, Ph.D. 

David Leavitt, B.A. 

Diana Wilkie, Ph.D, R.N. 

Donald Behringer, Ph.D. 

E. Lea Johnston, J.D. 

Elisabeth Barton, Ph.D. 

Gary Vallad, Ph.D. 

George Michailidis, Ph.D. 

Ghatu Subhash, Ph.D. 

Hui Zou, Ph.D. 

James Essegbey, Ph.D. 

James F. Collins, Ph.D. 

James Hamlin, Ph.D. 

Jamie Ellis, Ph.D. 

Jatinder Lamba, Ph.D. 

Jennifer Miller, M.D. 

Leslie Murray, Ph.D. 

Mary Ellen Davey, Ph.D. 

Peter Byung-Hoon Kang, M.D. 

Prabhat Mishra, Ph.D. 

Robert Guralnick, Ph.D. 

Rolf Renne, Ph.D. 

Tara Sabo-Attwood, Ph.D. 

W. Robert Knechel, Ph.D. 

William Hogan, M.D. 

Zhenli He, Ph.D. 

